Time	Time Code	Country Name	Country Code	CO2 emissions	Mortality_diseases	under_five_deaths	Water_use	Suicide_rate	measles_immunization
2010	YR2010	Nigeria	NGA	0.577111379724362	22.9	817137	60.6916800321422	10	56
2010	YR2010	Northern Mariana Islands	MNP				99.1781443887316		
2010	YR2010	Norway	NOR	12.2934544997885	11.3	193	100	12.6	93
2010	YR2010	Oman	OMN	15.5905311922564	20.2	775	84.19131393458	3.7	99
2010	YR2010	Pakistan	PAK	0.946268168264502	25.6	454829	88.7559582000453	3.1	57
2010	YR2010	Palau	PLW	12.3606741573034		6	97.6646813948181		39
2010	YR2010	Panama	PAN	2.51531007443411	13.4	1532	92.8135685341513	5.1	97
2010	YR2010	Papua New Guinea	PNG	0.670128424213086	28.2	13911	36.6039890537131	5.4	74
2010	YR2010	Paraguay	PRY	0.820810138429473	18.6	3631	91.3666267793172	9.3	93
2010	YR2010	Peru	PER	1.96073384965557	13.6	12428	87.0266391396084	4.6	94
2010	YR2010	Philippines	PHL	0.905495625234512	27.6	72894	88.9869506940776	3.3	80
2010	YR2010	Poland	POL	8.31337682505654	20.4	2374	97.900774	18.6	98
2010	YR2010	Portugal	PRT	4.55275264586545	12.1	383	99.5788949972923	13.5	96
2010	YR2010	Puerto Rico	PRI				97.0981720496312		
2010	YR2010	Qatar	QAT	40.7420176481562	16.4	173	100	6.1	99
2010	YR2010	Romania	ROU	3.92221356080157	23.4	2419	100	14	95
2010	YR2010	Russian Federation	RUS	11.6943481245069	30.4	17794	95.9977722457457	40	98
2010	YR2010	Rwanda	RWA	0.0576164832052646	19.2	22833	53.4755519860447	7.5	95
2010	YR2010	Samoa	WSM	1.00436078515615	23.4	97	94.6933370793435	5	56
2010	YR2010	San Marino	SMR			1	100		88
2010	YR2010	Sao Tome and Principe	STP	0.566490822538564	18.6	286	75.5960964485039	2	92
2010	YR2010	Saudi Arabia	SAU	18.9053424973007	17.9	7228	99.3560380901787	3.4	98
2010	YR2010	Senegal	SEN	0.599610304214953	20	31659	70.7009591417224	6.9	81
2010	YR2010	Serbia	SRB	6.30257798326694	22.5	742	90.0648874070552	15.9	95
2010	YR2010	Seychelles	SYC	4.9427091455943	22.8	24	95.6560322571016	9.4	99
2010	YR2010	Sierra Leone	SLE	0.11241639210246	31.8	40637	51.3459561854631	9.2	82
2010	YR2010	Singapore	SGP	10.9604087826578	11.3	136	100	10	95
2010	YR2010	Sint Maarten (Dutch part)	SXM				95.5		
2010	YR2010	Slovak Republic	SVK	6.72195956247584	20.4	394	97.948385	13.9	98
2010	YR2010	Slovenia	SVN	7.48585436860503	13.5	68	99.549567611127	20.7	95
2010	YR2010	Solomon Islands	SLB	0.375183311544364	25.8	436	71.2055047534599	5.8	74
2010	YR2010	Somalia	SOM	0.0508070745890954	21.6	82851	33.3579439525495	4.3	46
2010	YR2010	South Africa	ZAF	9.19069871601177	28.2	68130	82.3319088381657	12.2	64
2010	YR2010	South Sudan	SSD		20.3	39137		4.1	
2010	YR2010	Spain	ESP	5.81641636625128	10.7	1816	100	7	95
2010	YR2010	Sri Lanka	LKA	0.656664382487028	17.6	4126	87.3541460262809	19.1	99
2010	YR2010	St. Kitts and Nevis	KNA	4.27680046651764		13	98.9676020408163		99
2010	YR2010	St. Lucia	LCA	2.3372928496929	19.4	42	94.9584915919831	6.1	95
2010	YR2010	St. Martin (French part)	MAF						
2010	YR2010	St. Vincent and the Grenadines	VCT	2.01271554681425	21.4	39	94.5756798163022	3.3	99
2010	YR2010	Sudan	SDN	0.345245385884236	26.8	92108	51.8671394198842	8	90
2010	YR2010	Suriname	SUR	4.5654273022583	23	254	93.7289366203944	27	90
2010	YR2010	Sweden	SWE	5.54734805226545	10.4	338	100	15.3	97
2010	YR2010	Switzerland	CHE	4.98342894466888	9.7	359	100	16.2	92
2010	YR2010	Syrian Arab Republic	SYR	2.93097133742052	22.1	8393	96.4161133370833	1.9	82
2010	YR2010	Tajikistan	TJK	0.33303078008226	26.1	9561	69.2531395373192	2.5	94
2010	YR2010	Tanzania	TZA	0.154161891846109	17.9	134055	43.905749112822	5.3	92
2010	YR2010	Thailand	THA	4.19478193989097	15.8	10636	97.1149653892725	14.3	98
2010	YR2010	Timor-Leste	TLS	0.211508564867595	23.2	2615	63.106391353313	5.3	66
